route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
SC:64B,SC:76168,SC:2979861,MCKEE & WHITE,,0,SC:6423,SC:100442,0,0
ST:R,ST:73005,ST:t6B0-bBC0-sl7,RED LINE to EL CERRITO DEL NORTE El Cerrito Del No,,0,ST:3008,ST:2715_shp,0,0
WH:10R,WH:75836,WH:677880,EAST DUBLIN PLEASANTON BART,,0,WH:119238,WH:38952,0,0
SF:LBUS,SF:73694,SF:9699914,Embarcadero,,0,SF:9543,SF:181684,0,0
GG:70,GG:75205,GG:6865379,SAN FRANCISCO MISSION & FREMONT,,0,GG:1486500,GG:700358,0,0
AC:93,AC:72905,AC:11036070,Castro Valley BART,,1,AC:107896207,AC:shp-93-55,0,0
SF:49,SF:73694,SF:9545313,Fisherman's Wharf,,1,SF:4907,SF:180187,0,0
MA:68,MA:76018,MA:68809,San Rafael,,1,MA:8054,MA:153,0,0
SF:54,SF:73693,SF:9478300,Bayview District,,1,SF:5401,SF:180195,0,0
ST:3,ST:75777,ST:t3FF-bCB-slA,S VALLEJO to VTC via GRACE PAT VTC via Magazine &,,0,ST:203,ST:2701_shp,0,0
SM:292,SM:75922,SM:2926046,San Francisco,2926046,1,,SM:2921168,0,0
BA:GN-N,BA:72953,BA:1130842,Berryessa/North San Jose,,0,,BA:06_shp,0,0
SF:LBUS,SF:73694,SF:9699865,SF Zoo,,1,SF:9544,SF:181683,0,0
BA:BG-S,BA:75726,BA:8231809,Oakland International Airport Station,,0,,BA:20_shp,0,0
SF:90,SF:73692,SF:9485721,Visitacion Valley,,0,SF:9002,SF:180235,0,0
BA:GN-S,BA:72953,BA:1030802,Daly City,,0,,BA:05_shp,0,0
SF:NBUS,SF:73694,SF:9700812,Ocean Beach,,0,SF:7024,SF:180436,0,0
AC:40,AC:72905,AC:2934070,Downtown Oakland,,0,AC:108023407,AC:shp-40-15,2,2
SR:9,SR:76191,SR:t106-sl9-p271-rC3,9 West Ninth St,,0,SR:307,SR:625_shp,0,0
AC:97,AC:72906,AC:4208020,Union City BART,,0,AC:107939402,AC:shp-97-57,0,0
PE:10,PE:76186,PE:t326-sl9-p156-r7,Smart Station D St,,1,PE:7,PE:342_shp,0,0
SF:TBUS,SF:73692,SF:9701100,Visitation Valley,,0,SF:9458,SF:180477,0,0
PE:3,PE:76186,PE:t314-sl9-p94-r2,3 Clockwise Loop,,0,PE:2,PE:148_shp,0,0
SF:44,SF:73694,SF:9570856,California + 6th Ave,,0,SF:4424,SF:180163,0,0
SC:Rapid 522,SC:76168,SC:2977271,RAPID EASTRIDGE,,0,SC:544,SC:100352,0,0
SM:FLX,SM:73026,SM:2201001,Pacifica,2201001,0,,SM:FLXP0056,0,0
SF:7,SF:73693,SF:9554424,Ocean Beach,,1,SF:709,SF:179972,0,0
SI:Red Line,SI:74999,SI:725,Red Line,,0,,SI:RED_shape,1,1
AC:45,AC:72905,AC:1933070,Foothill Square,,1,AC:108020707,AC:shp-45-03,2,2
SF:1,SF:73692,SF:9413534,Drumm + Clay,,0,SF:124,SF:179931,0,0
AC:51A,AC:72905,AC:7946070,Rockridge BART,,1,AC:108024907,AC:shp-51A-16,2,2
SM:280,SM:73026,SM:2801031,Stanford Mall,2801031,1,,SM:2800209,0,0
AC:36,AC:72906,AC:2876020,U.C. Campus,,1,AC:107547302,AC:shp-36-08,0,0
SC:25,SC:76168,SC:2974539,ALUM ROCK STATION,,0,SC:2503,SC:100256,0,0
AC:93,AC:72905,AC:4165070,Bay Fair BART,,0,AC:107896207,AC:shp-93-07,0,0
SF:NBUS,SF:73692,SF:9571486,Ocean Beach,,0,SF:9791,SF:180436,0,0
MA:171,MA:76018,MA:171821,Marin City,,0,MA:8064,MA:42,0,0
SO:24,SO:76123,SO:t_1243733_b_27253_tn_0,Sebastopol Shuttle,,0,SO:203,SO:p_897783,0,0
SF:14R,SF:73694,SF:9556538,Daly City BART,,0,SF:1450,SF:180021,0,0
SM:120,SM:75922,SM:1206015,Colma BART,1206015,0,,SM:1200274,0,0
AC:O,AC:72906,AC:6250020,Fruitvale BART,,1,AC:108001002,AC:shp-O-03,0,0
ST:2,ST:73007,ST:t708-bCB-sl9,CREST to FAIRGROUNDS via STC Fairgrounds via STC &,,0,ST:203,ST:2672_shp,0,0
CM:LC Shuttle,CM:76132,CM:t_1298522_b_26726_tn_1,Belmont Station,,0,CM:109125,CM:p_899963,0,0
CC:21,CC:75939,CC:54020,San Ramon TC,,0,CC:13502,CC:shp-21-51,2,2
PE:2,PE:76186,PE:t2F8-sl9-p84-r5,2 N. Mcdowell Outbound,,0,PE:5,PE:132_shp,0,0
SC:57,SC:72914,SC:2978151,WEST VALLEY COLLEGE,,1,SC:5775,SC:100404,0,0
UC:1,UC:74966,UC:10492,UC BART,10492,1,UC:W7,UC:p_1252149,0,0
CC:10,CC:75939,CC:120020,Clayton,,1,CC:8102,CC:shp-10-01,2,2
ST:2,ST:73006,ST:t578-bC9-sl8,CREST to FAIRGROUNDS via STC Fairgrounds via STC &,,0,ST:201,ST:2672_shp,0,0
WH:10R,WH:72990,WH:677457,LIVERMORE TRANSIT CENTER,,1,WH:119207,WH:38949,0,0
SF:44,SF:73693,SF:9468606,Bayview District - Hudson & Newhall,,1,SF:4415,SF:180158,0,0
SF:38,SF:73692,SF:9546389,Transit Center,,1,SF:3893,SF:180135,0,0
AC:52,AC:72907,AC:12693010,U.C. Campus,,0,AC:107175201,AC:shp-52-61,0,0
SR:4,SR:76154,SR:t28E-sl8-p235-rCB,4 Rincon Valley,,0,SR:104,SR:565_shp,0,0
SF:12,SF:73693,SF:9542807,Van Ness,,1,SF:1208,SF:180010,0,0
AC:19,AC:72907,AC:13124010,Downtown Oakland,,0,AC:107264301,AC:shp-19-62,0,0
WH:8,WH:72989,WH:679893,HOPYARD - EAST DUBLIN BART,,0,WH:119206,WH:39029,0,0
PE:11,PE:76184,PE:t344-sl2-p99-r5,Copeland Transit Mall,,0,PE:5,PE:153_shp,0,0
AC:51A,AC:72906,AC:2540020,Fruitvale BART,,0,AC:107997502,AC:shp-51A-54,0,0
SF:9,SF:73692,SF:9557555,Sunnydale,,1,SF:930,SF:179990,0,0
SF:30,SF:73692,SF:9538861,Caltrain Depot,,0,SF:3003,SF:180096,0,0
SF:54,SF:73692,SF:9478154,Bayview District,,1,SF:5415,SF:180195,0,0
SF:14R,SF:73693,SF:9556272,Daly City BART,,0,SF:1462,SF:180021,0,0
SM:294,SM:75922,SM:2946019,Main/Poplar,2946019,0,,SM:2940172,0,0
SF:24,SF:73693,SF:9445587,Palou + Third Street,,1,SF:2411,SF:180054,0,0
AC:57,AC:72906,AC:2690020,Foothill Square,,1,AC:107544202,AC:shp-57-05,0,0
SM:141,SM:75922,SM:1416009,Shelter Creek,1416009,0,,SM:1410218,0,0
SF:1,SF:73692,SF:9413609,Drumm + Clay,,0,SF:121,SF:179932,0,0
SF:MBUS,SF:73692,SF:9721541,Balboa Park Station,,0,SF:9639,SF:180392,0,0
PE:11,PE:76188,PE:t35C-sl13-p99-r12,Copeland Transit Mall,,0,PE:22,PE:153_shp,0,0
